# Generated using a python script
# Convert to a table using `libime_tabledict`
#
# if you wanna use this as your IME, follow the install instructions at https://github.com/mun-luna/nasin-mun
# but make sure to delete the `./nasin-mun/` directory, and rename `./nasin-mun-combos/` to `./nasin-mun/`
# BEFORE using the nix module or the install script
# keep in mind that this is more a proof of concept than anything else, many improvements could be made
#
# all keys are generated in the format of "KeyOne-KeyTwo", if you need to use a particular joiner, navigate using the hint

KeyCode=ptkmnswljaeiou-
Length=15

[Data]
a 󱤀
taso-suwi 󱥨‍󱥦
taso-tan 󱥨‍󱥧
taso-taso 󱥨‍󱥨
taso-tawa 󱥨‍󱥩
taso-telo 󱥨‍󱥪
taso-tenpo 󱥨‍󱥫
taso-toki 󱥨‍󱥬
taso-tomo 󱥨‍󱥭
taso-tonsi 󱥨‍󱥾
taso-tu 󱥨‍󱥮
taso-unpa 󱥨‍󱥯
taso-uta 󱥨‍󱥰
taso-utala 󱥨‍󱥱
taso-walo 󱥨‍󱥲
taso-wan 󱥨‍󱥳
taso-waso 󱥨‍󱥴
taso-wawa 󱥨‍󱥵
taso-weka 󱥨‍󱥶
taso-wile 󱥨‍󱥷
taso-kijetesantakalu 󱥨‍󱦀
taso-kipisi 󱥨‍󱥻
taso-ku 󱥨‍󱦈
taso-leko 󱥨‍󱥼
taso-misikeke 󱥨‍󱦇
taso-n 󱥨‍󱦆
taso-namako 󱥨‍󱥸
taso-soko 󱥨‍󱦁
taso-epiku 󱥨‍󱦃
taso-jasima 󱥨‍󱥿
taso-lanpan 󱥨‍󱦅
taso-linluwi 󱥨‍󱦤
taso-majuna 󱥨‍󱦢
taso-meso 󱥨‍󱦂
taso-oko 󱥨‍󱥺
taso-su 󱥨‍󱦦
taso-a 󱥨󱦕󱤀
taso-akesi 󱥨󱦕󱤁
taso-ala 󱥨󱦕󱤂
taso-alasa 󱥨󱦕󱤃
taso-ale 󱥨󱦕󱤄
taso-anpa 󱥨󱦕󱤅
taso-ante 󱥨󱦕󱤆
taso-anu 󱥨󱦕󱤇
taso-awen 󱥨󱦕󱤈
taso-e 󱥨󱦕󱤉
taso-en 󱥨󱦕󱤊
taso-esun 󱥨󱦕󱤋
taso-ijo 󱥨󱦕󱤌
taso-ike 󱥨󱦕󱤍
taso-ilo 󱥨󱦕󱤎
taso-insa 󱥨󱦕󱤏
taso-jaki 󱥨󱦕󱤐
taso-jan 󱥨󱦕󱤑
taso-jelo 󱥨󱦕󱤒
taso-jo 󱥨󱦕󱤓
taso-kala 󱥨󱦕󱤔
taso-kalama 󱥨󱦕󱤕
taso-kama 󱥨󱦕󱤖
taso-kasi 󱥨󱦕󱤗
taso-ken 󱥨󱦕󱤘
taso-kepeken 󱥨󱦕󱤙
taso-kili 󱥨󱦕󱤚
taso-kin 󱥨󱦕󱥹
taso-kiwen 󱥨󱦕󱤛
taso-ko 󱥨󱦕󱤜
taso-kon 󱥨󱦕󱤝
taso-kule 󱥨󱦕󱤞
taso-kulupu 󱥨󱦕󱤟
taso-kute 󱥨󱦕󱤠
taso-la 󱥨󱦕󱤡
taso-lape 󱥨󱦕󱤢
taso-laso 󱥨󱦕󱤣
taso-lawa 󱥨󱦕󱤤
taso-len 󱥨󱦕󱤥
taso-lete 󱥨󱦕󱤦
taso-li 󱥨󱦕󱤧
taso-lili 󱥨󱦕󱤨
taso-linja 󱥨󱦕󱤩
taso-lipu 󱥨󱦕󱤪
taso-loje 󱥨󱦕󱤫
taso-lon 󱥨󱦕󱤬
taso-luka 󱥨󱦕󱤭
taso-lukin 󱥨󱦕󱤮
taso-lupa 󱥨󱦕󱤯
taso-ma 󱥨󱦕󱤰
taso-mama 󱥨󱦕󱤱
taso-mani 󱥨󱦕󱤲
taso-meli 󱥨󱦕󱤳
taso-mi 󱥨󱦕󱤴
taso-mije 󱥨󱦕󱤵
taso-moku 󱥨󱦕󱤶
taso-moli 󱥨󱦕󱤷
taso-monsi 󱥨󱦕󱤸
taso-monsuta 󱥨󱦕󱥽
taso-mu 󱥨󱦕󱤹
taso-mun 󱥨󱦕󱤺
taso-musi 󱥨󱦕󱤻
taso-mute 󱥨󱦕󱤼
taso-nanpa 󱥨󱦕󱤽
taso-nasa 󱥨󱦕󱤾
taso-nasin 󱥨󱦕󱤿
taso-nena 󱥨󱦕󱥀
taso-ni 󱥨󱦕󱥁
taso-nimi 󱥨󱦕󱥂
taso-noka 󱥨󱦕󱥃
taso-o 󱥨󱦕󱥄
taso-olin 󱥨󱦕󱥅
taso-ona 󱥨󱦕󱥆
taso-open 󱥨󱦕󱥇
taso-pakala 󱥨󱦕󱥈
taso-pali 󱥨󱦕󱥉
taso-palisa 󱥨󱦕󱥊
taso-pan 󱥨󱦕󱥋
taso-pana 󱥨󱦕󱥌
taso-pi 󱥨󱦕󱥍
taso-pilin 󱥨󱦕󱥎
taso-pimeja 󱥨󱦕󱥏
taso-pini 󱥨󱦕󱥐
taso-pipi 󱥨󱦕󱥑
taso-poka 󱥨󱦕󱥒
taso-poki 󱥨󱦕󱥓
taso-pona 󱥨󱦕󱥔
taso-pu 󱥨󱦕󱥕
taso-sama 󱥨󱦕󱥖
taso-seli 󱥨󱦕󱥗
taso-selo 󱥨󱦕󱥘
taso-seme 󱥨󱦕󱥙
taso-sewi 󱥨󱦕󱥚
taso-sijelo 󱥨󱦕󱥛
taso-sike 󱥨󱦕󱥜
taso-sin 󱥨󱦕󱥝
taso-sina 󱥨󱦕󱥞
taso-sinpin 󱥨󱦕󱥟
taso-sitelen 󱥨󱦕󱥠
taso-sona 󱥨󱦕󱥡
taso-soweli 󱥨󱦕󱥢
taso-suli 󱥨󱦕󱥣
taso-suno 󱥨󱦕󱥤
taso-supa 󱥨󱦕󱥥
taso-suwi 󱥨󱦕󱥦
taso-tan 󱥨󱦕󱥧
taso-taso 󱥨󱦕󱥨
taso-tawa 󱥨󱦕󱥩
taso-telo 󱥨󱦕󱥪
taso-tenpo 󱥨󱦕󱥫
taso-toki 󱥨󱦕󱥬
taso-tomo 󱥨󱦕󱥭
taso-tonsi 󱥨󱦕󱥾
taso-tu 󱥨󱦕󱥮
taso-unpa 󱥨󱦕󱥯
taso-uta 󱥨󱦕󱥰
taso-utala 󱥨󱦕󱥱
taso-walo 󱥨󱦕󱥲
taso-wan 󱥨󱦕󱥳
taso-waso 󱥨󱦕󱥴
taso-wawa 󱥨󱦕󱥵
taso-weka 󱥨󱦕󱥶
taso-wile 󱥨󱦕󱥷
taso-kijetesantakalu 󱥨󱦕󱦀
taso-kipisi 󱥨󱦕󱥻
taso-ku 󱥨󱦕󱦈
taso-leko 󱥨󱦕󱥼
taso-misikeke 󱥨󱦕󱦇
taso-n 󱥨󱦕󱦆
taso-namako 󱥨󱦕󱥸
taso-soko 󱥨󱦕󱦁
taso-epiku 󱥨󱦕󱦃
taso-jasima 󱥨󱦕󱥿
taso-lanpan 󱥨󱦕󱦅
taso-linluwi 󱥨󱦕󱦤
taso-majuna 󱥨󱦕󱦢
taso-meso 󱥨󱦕󱦂
taso-oko 󱥨󱦕󱥺
taso-su 󱥨󱦕󱦦
taso-a 󱥨󱦖󱤀
taso-akesi 󱥨󱦖󱤁
taso-ala 󱥨󱦖󱤂
taso-alasa 󱥨󱦖󱤃
taso-ale 󱥨󱦖󱤄
taso-anpa 󱥨󱦖󱤅
taso-ante 󱥨󱦖󱤆
taso-anu 󱥨󱦖󱤇
taso-awen 󱥨󱦖󱤈
taso-e 󱥨󱦖󱤉
taso-en 󱥨󱦖󱤊
taso-esun 󱥨󱦖󱤋
taso-ijo 󱥨󱦖󱤌
taso-ike 󱥨󱦖󱤍
taso-ilo 󱥨󱦖󱤎
taso-insa 󱥨󱦖󱤏
taso-jaki 󱥨󱦖󱤐
taso-jan 󱥨󱦖󱤑
taso-jelo 󱥨󱦖󱤒
taso-jo 󱥨󱦖󱤓
taso-kala 󱥨󱦖󱤔
taso-kalama 󱥨󱦖󱤕
taso-kama 󱥨󱦖󱤖
taso-kasi 󱥨󱦖󱤗
taso-ken 󱥨󱦖󱤘
taso-kepeken 󱥨󱦖󱤙
taso-kili 󱥨󱦖󱤚
taso-kin 󱥨󱦖󱥹
taso-kiwen 󱥨󱦖󱤛
taso-ko 󱥨󱦖󱤜
taso-kon 󱥨󱦖󱤝
taso-kule 󱥨󱦖󱤞
taso-kulupu 󱥨󱦖󱤟
taso-kute 󱥨󱦖󱤠
taso-la 󱥨󱦖󱤡
taso-lape 󱥨󱦖󱤢
taso-laso 󱥨󱦖󱤣
taso-lawa 󱥨󱦖󱤤
taso-len 󱥨󱦖󱤥
taso-lete 󱥨󱦖󱤦
taso-li 󱥨󱦖󱤧
taso-lili 󱥨󱦖󱤨
taso-linja 󱥨󱦖󱤩
taso-lipu 󱥨󱦖󱤪
taso-loje 󱥨󱦖󱤫
taso-lon 󱥨󱦖󱤬
taso-luka 󱥨󱦖󱤭
taso-lukin 󱥨󱦖󱤮
taso-lupa 󱥨󱦖󱤯
taso-ma 󱥨󱦖󱤰
taso-mama 󱥨󱦖󱤱
taso-mani 󱥨󱦖󱤲
taso-meli 󱥨󱦖󱤳
taso-mi 󱥨󱦖󱤴
taso-mije 󱥨󱦖󱤵
taso-moku 󱥨󱦖󱤶
taso-moli 󱥨󱦖󱤷
taso-monsi 󱥨󱦖󱤸
taso-monsuta 󱥨󱦖󱥽
taso-mu 󱥨󱦖󱤹
taso-mun 󱥨󱦖󱤺
taso-musi 󱥨󱦖󱤻
taso-mute 󱥨󱦖󱤼
taso-nanpa 󱥨󱦖󱤽
taso-nasa 󱥨󱦖󱤾
taso-nasin 󱥨󱦖󱤿
taso-nena 󱥨󱦖󱥀
taso-ni 󱥨󱦖󱥁
taso-nimi 󱥨󱦖󱥂
taso-noka 󱥨󱦖󱥃
taso-o 󱥨󱦖󱥄
taso-olin 󱥨󱦖󱥅
taso-ona 󱥨󱦖󱥆
taso-open 󱥨󱦖󱥇
taso-pakala 󱥨󱦖󱥈
taso-pali 󱥨󱦖󱥉
taso-palisa 󱥨󱦖󱥊
taso-pan 󱥨󱦖󱥋
taso-pana 󱥨󱦖󱥌
taso-pi 󱥨󱦖󱥍
taso-pilin 󱥨󱦖󱥎
taso-pimeja 󱥨󱦖󱥏
taso-pini 󱥨󱦖󱥐
taso-pipi 󱥨󱦖󱥑
taso-poka 󱥨󱦖󱥒
taso-poki 󱥨󱦖󱥓
taso-pona 󱥨󱦖󱥔
taso-pu 󱥨󱦖󱥕
taso-sama 󱥨󱦖󱥖
taso-seli 󱥨󱦖󱥗
taso-selo 󱥨󱦖󱥘
taso-seme 󱥨󱦖󱥙
taso-sewi 󱥨󱦖󱥚
taso-sijelo 󱥨󱦖󱥛
taso-sike 󱥨󱦖󱥜
taso-sin 󱥨󱦖󱥝
taso-sina 󱥨󱦖󱥞
taso-sinpin 󱥨󱦖󱥟
taso-sitelen 󱥨󱦖󱥠
taso-sona 󱥨󱦖󱥡
taso-soweli 󱥨󱦖󱥢
taso-suli 󱥨󱦖󱥣
taso-suno 󱥨󱦖󱥤
taso-supa 󱥨󱦖󱥥
taso-suwi 󱥨󱦖󱥦
taso-tan 󱥨󱦖󱥧
taso-taso 󱥨󱦖󱥨
taso-tawa 󱥨󱦖󱥩
taso-telo 󱥨󱦖󱥪
taso-tenpo 󱥨󱦖󱥫
taso-toki 󱥨󱦖󱥬
taso-tomo 󱥨󱦖󱥭
taso-tonsi 󱥨󱦖󱥾
taso-tu 󱥨󱦖󱥮
taso-unpa 󱥨󱦖󱥯
taso-uta 󱥨󱦖󱥰
taso-utala 󱥨󱦖󱥱
taso-walo 󱥨󱦖󱥲
taso-wan 󱥨󱦖󱥳
taso-waso 󱥨󱦖󱥴
taso-wawa 󱥨󱦖󱥵
taso-weka 󱥨󱦖󱥶
taso-wile 󱥨󱦖󱥷
taso-kijetesantakalu 󱥨󱦖󱦀
taso-kipisi 󱥨󱦖󱥻
taso-ku 󱥨󱦖󱦈
taso-leko 󱥨󱦖󱥼
taso-misikeke 󱥨󱦖󱦇
taso-n 󱥨󱦖󱦆
taso-namako 󱥨󱦖󱥸
taso-soko 󱥨󱦖󱦁
taso-epiku 󱥨󱦖󱦃
taso-jasima 󱥨󱦖󱥿
taso-lanpan 󱥨󱦖󱦅
taso-linluwi 󱥨󱦖󱦤
taso-majuna 󱥨󱦖󱦢
taso-meso 󱥨󱦖󱦂
taso-oko 󱥨󱦖󱥺
taso-su 󱥨󱦖󱦦
tawa 󱥩
tawa-a 󱥩‍󱤀
tawa-akesi 󱥩‍󱤁
tawa-ala 󱥩‍󱤂
tawa-alasa 󱥩‍󱤃
tawa-ale 󱥩‍󱤄
tawa-anpa 󱥩‍󱤅
tawa-ante 󱥩‍󱤆
tawa-anu 󱥩‍󱤇
tawa-awen 󱥩‍󱤈
tawa-e 󱥩‍󱤉
tawa-en 󱥩‍󱤊
tawa-esun 󱥩‍󱤋
tawa-ijo 󱥩‍󱤌
tawa-ike 󱥩‍󱤍
tawa-ilo 󱥩‍󱤎
tawa-insa 󱥩‍󱤏
tawa-jaki 󱥩‍󱤐
tawa-jan 󱥩‍󱤑
tawa-jelo 󱥩‍󱤒
tawa-jo 󱥩‍󱤓
tawa-kala 󱥩‍󱤔
tawa-kalama 󱥩‍󱤕
tawa-kama 󱥩‍󱤖
tawa-kasi 󱥩‍󱤗
tawa-ken 󱥩‍󱤘
tawa-kepeken 󱥩‍󱤙
tawa-kili 󱥩‍󱤚
tawa-kin 󱥩‍󱥹
tawa-kiwen 󱥩‍󱤛
tawa-ko 󱥩‍󱤜
tawa-kon 󱥩‍󱤝
tawa-kule 󱥩‍󱤞
tawa-kulupu 󱥩‍󱤟
tawa-kute 󱥩‍󱤠
tawa-la 󱥩‍󱤡
tawa-lape 󱥩‍󱤢
tawa-laso 󱥩‍󱤣
tawa-lawa 󱥩‍󱤤
tawa-len 󱥩‍󱤥
tawa-lete 󱥩‍󱤦
tawa-li 󱥩‍󱤧
tawa-lili 󱥩‍󱤨
tawa-linja 󱥩‍󱤩
tawa-lipu 󱥩‍󱤪
tawa-loje 󱥩‍󱤫
tawa-lon 󱥩‍󱤬
tawa-luka 󱥩‍󱤭
tawa-lukin 󱥩‍󱤮
tawa-lupa 󱥩‍󱤯
tawa-ma 󱥩‍󱤰
tawa-mama 󱥩‍󱤱
tawa-mani 󱥩‍󱤲
tawa-meli 󱥩‍󱤳
tawa-mi 󱥩‍󱤴
tawa-mije 󱥩‍󱤵
tawa-moku 󱥩‍󱤶
tawa-moli 󱥩‍󱤷
tawa-monsi 󱥩‍󱤸
tawa-monsuta 󱥩‍󱥽
tawa-mu 󱥩‍󱤹
tawa-mun 󱥩‍󱤺
tawa-musi 󱥩‍󱤻
tawa-mute 󱥩‍󱤼
tawa-nanpa 󱥩‍󱤽
tawa-nasa 󱥩‍󱤾
tawa-nasin 󱥩‍󱤿
tawa-nena 󱥩‍󱥀
tawa-ni 󱥩‍󱥁
tawa-nimi 󱥩‍󱥂
tawa-noka 󱥩‍󱥃
tawa-o 󱥩‍󱥄
tawa-olin 󱥩‍󱥅
tawa-ona 󱥩‍󱥆
tawa-open 󱥩‍󱥇
tawa-pakala 󱥩‍󱥈
tawa-pali 󱥩‍󱥉
tawa-palisa 󱥩‍󱥊
tawa-pan 󱥩‍󱥋
tawa-pana 󱥩‍󱥌
tawa-pi 󱥩‍󱥍
tawa-pilin 󱥩‍󱥎
tawa-pimeja 󱥩‍󱥏
tawa-pini 󱥩‍󱥐
tawa-pipi 󱥩‍󱥑
tawa-poka 󱥩‍󱥒
tawa-poki 󱥩‍󱥓
tawa-pona 󱥩‍󱥔
tawa-pu 󱥩‍󱥕
tawa-sama 󱥩‍󱥖
tawa-seli 󱥩‍󱥗
tawa-selo 󱥩‍󱥘
tawa-seme 󱥩‍󱥙
tawa-sewi 󱥩‍󱥚
tawa-sijelo 󱥩‍󱥛
tawa-sike 󱥩‍󱥜
tawa-sin 󱥩‍󱥝
tawa-sina 󱥩‍󱥞
tawa-sinpin 󱥩‍󱥟
tawa-sitelen 󱥩‍󱥠
tawa-sona 󱥩‍󱥡
tawa-soweli 󱥩‍󱥢
tawa-suli 󱥩‍󱥣
tawa-suno 󱥩‍󱥤
tawa-supa 󱥩‍󱥥
tawa-suwi 󱥩‍󱥦
tawa-tan 󱥩‍󱥧
tawa-taso 󱥩‍󱥨
tawa-tawa 󱥩‍󱥩
tawa-telo 󱥩‍󱥪
tawa-tenpo 󱥩‍󱥫
tawa-toki 󱥩‍󱥬
tawa-tomo 󱥩‍󱥭
tawa-tonsi 󱥩‍󱥾
tawa-tu 󱥩‍󱥮
tawa-unpa 󱥩‍󱥯
tawa-uta 󱥩‍󱥰
tawa-utala 󱥩‍󱥱
tawa-walo 󱥩‍󱥲
tawa-wan 󱥩‍󱥳
tawa-waso 󱥩‍󱥴
tawa-wawa 󱥩‍󱥵
tawa-weka 󱥩‍󱥶
tawa-wile 󱥩‍󱥷
tawa-kijetesantakalu 󱥩‍󱦀
tawa-kipisi 󱥩‍󱥻
tawa-ku 󱥩‍󱦈
tawa-leko 󱥩‍󱥼
tawa-misikeke 󱥩‍󱦇
tawa-n 󱥩‍󱦆
tawa-namako 󱥩‍󱥸
tawa-soko 󱥩‍󱦁
tawa-epiku 󱥩‍󱦃
tawa-jasima 󱥩‍󱥿
tawa-lanpan 󱥩‍󱦅
tawa-linluwi 󱥩‍󱦤
tawa-majuna 󱥩‍󱦢
tawa-meso 󱥩‍󱦂
tawa-oko 󱥩‍󱥺
tawa-su 󱥩‍󱦦
tawa-a 󱥩󱦕󱤀
tawa-akesi 󱥩󱦕󱤁
tawa-ala 󱥩󱦕󱤂
tawa-alasa 󱥩󱦕󱤃
tawa-ale 󱥩󱦕󱤄
tawa-anpa 󱥩󱦕󱤅
tawa-ante 󱥩󱦕󱤆
tawa-anu 󱥩󱦕󱤇
tawa-awen 󱥩󱦕󱤈
tawa-e 󱥩󱦕󱤉
tawa-en 󱥩󱦕󱤊
tawa-esun 󱥩󱦕󱤋
tawa-ijo 󱥩󱦕󱤌
tawa-ike 󱥩󱦕󱤍
tawa-ilo 󱥩󱦕󱤎
tawa-insa 󱥩󱦕󱤏
tawa-jaki 󱥩󱦕󱤐
tawa-jan 󱥩󱦕󱤑
tawa-jelo 󱥩󱦕󱤒
tawa-jo 󱥩󱦕󱤓
tawa-kala 󱥩󱦕󱤔
tawa-kalama 󱥩󱦕󱤕
tawa-kama 󱥩󱦕󱤖
tawa-kasi 󱥩󱦕󱤗
tawa-ken 󱥩󱦕󱤘
tawa-kepeken 󱥩󱦕󱤙
tawa-kili 󱥩󱦕󱤚
tawa-kin 󱥩󱦕󱥹
tawa-kiwen 󱥩󱦕󱤛
tawa-ko 󱥩󱦕󱤜
tawa-kon 󱥩󱦕󱤝
tawa-kule 󱥩󱦕󱤞
tawa-kulupu 󱥩󱦕󱤟
tawa-kute 󱥩󱦕󱤠
tawa-la 󱥩󱦕󱤡
tawa-lape 󱥩󱦕󱤢
tawa-laso 󱥩󱦕󱤣
tawa-lawa 󱥩󱦕󱤤
tawa-len 󱥩󱦕󱤥
tawa-lete 󱥩󱦕󱤦
tawa-li 󱥩󱦕󱤧
tawa-lili 󱥩󱦕󱤨
tawa-linja 󱥩󱦕󱤩
tawa-lipu 󱥩󱦕󱤪
tawa-loje 󱥩󱦕󱤫
tawa-lon 󱥩󱦕󱤬
tawa-luka 󱥩󱦕󱤭
tawa-lukin 󱥩󱦕󱤮
tawa-lupa 󱥩󱦕󱤯
tawa-ma 󱥩󱦕󱤰
tawa-mama 󱥩󱦕󱤱
tawa-mani 󱥩󱦕󱤲
tawa-meli 󱥩󱦕󱤳
tawa-mi 󱥩󱦕󱤴
tawa-mije 󱥩󱦕󱤵
tawa-moku 󱥩󱦕󱤶
tawa-moli 󱥩󱦕󱤷
tawa-monsi 󱥩󱦕󱤸
tawa-monsuta 󱥩󱦕󱥽
tawa-mu 󱥩󱦕󱤹
tawa-mun 󱥩󱦕󱤺
tawa-musi 󱥩󱦕󱤻
tawa-mute 󱥩󱦕󱤼
tawa-nanpa 󱥩󱦕󱤽
tawa-nasa 󱥩󱦕󱤾
tawa-nasin 󱥩󱦕󱤿
tawa-nena 󱥩󱦕󱥀
tawa-ni 󱥩󱦕󱥁
tawa-nimi 󱥩󱦕󱥂
tawa-noka 󱥩󱦕󱥃
tawa-o 󱥩󱦕󱥄
tawa-olin 󱥩󱦕󱥅
tawa-ona 󱥩󱦕󱥆
tawa-open 󱥩󱦕󱥇
tawa-pakala 󱥩󱦕󱥈
tawa-pali 󱥩󱦕󱥉
tawa-palisa 󱥩󱦕󱥊
tawa-pan 󱥩󱦕󱥋
tawa-pana 󱥩󱦕󱥌
tawa-pi 󱥩󱦕󱥍
tawa-pilin 󱥩󱦕󱥎
tawa-pimeja 󱥩󱦕󱥏
tawa-pini 󱥩󱦕󱥐
tawa-pipi 󱥩󱦕󱥑
tawa-poka 󱥩󱦕󱥒
tawa-poki 󱥩󱦕󱥓
tawa-pona 󱥩󱦕󱥔
tawa-pu 󱥩󱦕󱥕
tawa-sama 󱥩󱦕󱥖
tawa-seli 󱥩󱦕󱥗
tawa-selo 󱥩󱦕󱥘
tawa-seme 󱥩󱦕󱥙
tawa-sewi 󱥩󱦕󱥚
tawa-sijelo 󱥩󱦕󱥛
tawa-sike 󱥩󱦕󱥜
tawa-sin 󱥩󱦕󱥝
tawa-sina 󱥩󱦕󱥞
tawa-sinpin 󱥩󱦕󱥟
tawa-sitelen 󱥩󱦕󱥠
tawa-sona 󱥩󱦕󱥡
tawa-soweli 󱥩󱦕󱥢
tawa-suli 󱥩󱦕󱥣
tawa-suno 󱥩󱦕󱥤
tawa-supa 󱥩󱦕󱥥
tawa-suwi 󱥩󱦕󱥦
tawa-tan 󱥩󱦕󱥧
tawa-taso 󱥩󱦕󱥨
tawa-tawa 󱥩󱦕󱥩
tawa-telo 󱥩󱦕󱥪
tawa-tenpo 󱥩󱦕󱥫
tawa-toki 󱥩󱦕󱥬
tawa-tomo 󱥩󱦕󱥭
tawa-tonsi 󱥩󱦕󱥾
tawa-tu 󱥩󱦕󱥮
tawa-unpa 󱥩󱦕󱥯
tawa-uta 󱥩󱦕󱥰
tawa-utala 󱥩󱦕󱥱
tawa-walo 󱥩󱦕󱥲
tawa-wan 󱥩󱦕󱥳
tawa-waso 󱥩󱦕󱥴
tawa-wawa 󱥩󱦕󱥵
tawa-weka 󱥩󱦕󱥶
tawa-wile 󱥩󱦕󱥷
tawa-kijetesantakalu 󱥩󱦕󱦀
tawa-kipisi 󱥩󱦕󱥻
tawa-ku 󱥩󱦕󱦈
tawa-leko 󱥩󱦕󱥼
tawa-misikeke 󱥩󱦕󱦇
tawa-n 󱥩󱦕󱦆
tawa-namako 󱥩󱦕󱥸
tawa-soko 󱥩󱦕󱦁
tawa-epiku 󱥩󱦕󱦃
tawa-jasima 󱥩󱦕󱥿
tawa-lanpan 󱥩󱦕󱦅
tawa-linluwi 󱥩󱦕󱦤
tawa-majuna 󱥩󱦕󱦢
tawa-meso 󱥩󱦕󱦂
tawa-oko 󱥩󱦕󱥺
tawa-su 󱥩󱦕󱦦
tawa-a 󱥩󱦖󱤀
tawa-akesi 󱥩󱦖󱤁
tawa-ala 󱥩󱦖󱤂
tawa-alasa 󱥩󱦖󱤃
tawa-ale 󱥩󱦖󱤄
tawa-anpa 󱥩󱦖󱤅
tawa-ante 󱥩󱦖󱤆
tawa-anu 󱥩󱦖󱤇
tawa-awen 󱥩󱦖󱤈
tawa-e 󱥩󱦖󱤉
tawa-en 󱥩󱦖󱤊
tawa-esun 󱥩󱦖󱤋
tawa-ijo 󱥩󱦖󱤌
tawa-ike 󱥩󱦖󱤍
tawa-ilo 󱥩󱦖󱤎
tawa-insa 󱥩󱦖󱤏
tawa-jaki 󱥩󱦖󱤐
tawa-jan 󱥩󱦖󱤑
tawa-jelo 󱥩󱦖󱤒
tawa-jo 󱥩󱦖󱤓
tawa-kala 󱥩󱦖󱤔
tawa-kalama 󱥩󱦖󱤕
tawa-kama 󱥩󱦖󱤖
tawa-kasi 󱥩󱦖󱤗
tawa-ken 󱥩󱦖󱤘
tawa-kepeken 󱥩󱦖󱤙
tawa-kili 󱥩󱦖󱤚
tawa-kin 󱥩󱦖󱥹
tawa-kiwen 󱥩󱦖󱤛
tawa-ko 󱥩󱦖󱤜
tawa-kon 󱥩󱦖󱤝
tawa-kule 󱥩󱦖󱤞
tawa-kulupu 󱥩󱦖󱤟
tawa-kute 󱥩󱦖󱤠
tawa-la 󱥩󱦖󱤡
tawa-lape 󱥩󱦖󱤢
tawa-laso 󱥩󱦖󱤣
tawa-lawa 󱥩󱦖󱤤
tawa-len 󱥩󱦖󱤥
tawa-lete 󱥩󱦖󱤦
tawa-li 󱥩󱦖󱤧
tawa-lili 󱥩󱦖󱤨
tawa-linja 󱥩󱦖󱤩
tawa-lipu 󱥩󱦖󱤪
tawa-loje 󱥩󱦖󱤫
tawa-lon 󱥩󱦖󱤬
tawa-luka 󱥩󱦖󱤭
tawa-lukin 󱥩󱦖󱤮
tawa-lupa 󱥩󱦖󱤯
tawa-ma 󱥩󱦖󱤰
tawa-mama 󱥩󱦖󱤱
tawa-mani 󱥩󱦖󱤲
tawa-meli 󱥩󱦖󱤳
tawa-mi 󱥩󱦖󱤴
tawa-mije 󱥩󱦖󱤵
tawa-moku 󱥩󱦖󱤶
tawa-moli 󱥩󱦖󱤷
tawa-monsi 󱥩󱦖󱤸
tawa-monsuta 󱥩󱦖󱥽
tawa-mu 󱥩󱦖󱤹
tawa-mun 󱥩󱦖󱤺
tawa-musi 󱥩󱦖󱤻
tawa-mute 󱥩󱦖󱤼
tawa-nanpa 󱥩󱦖󱤽
tawa-nasa 󱥩󱦖󱤾
tawa-nasin 󱥩󱦖󱤿
tawa-nena 󱥩󱦖󱥀
tawa-ni 󱥩󱦖󱥁
tawa-nimi 󱥩󱦖󱥂
tawa-noka 󱥩󱦖󱥃
tawa-o 󱥩󱦖󱥄
tawa-olin 󱥩󱦖󱥅
tawa-ona 󱥩󱦖󱥆
tawa-open 󱥩󱦖󱥇
tawa-pakala 󱥩󱦖󱥈
tawa-pali 󱥩󱦖󱥉
tawa-palisa 󱥩󱦖󱥊
tawa-pan 󱥩󱦖󱥋
tawa-pana 󱥩󱦖󱥌
tawa-pi 󱥩󱦖󱥍
tawa-pilin 󱥩󱦖󱥎
tawa-pimeja 󱥩󱦖󱥏
tawa-pini 󱥩󱦖󱥐
tawa-pipi 󱥩󱦖󱥑
tawa-poka 󱥩󱦖󱥒
tawa-poki 󱥩󱦖󱥓
tawa-pona 󱥩󱦖󱥔
tawa-pu 󱥩󱦖󱥕
tawa-sama 󱥩󱦖󱥖
tawa-seli 󱥩󱦖󱥗
tawa-selo 󱥩󱦖󱥘
tawa-seme 󱥩󱦖󱥙
tawa-sewi 󱥩󱦖󱥚
tawa-sijelo 󱥩󱦖󱥛
tawa-sike 󱥩󱦖󱥜
tawa-sin 󱥩󱦖󱥝
tawa-sina 󱥩󱦖󱥞
tawa-sinpin 󱥩󱦖󱥟
tawa-sitelen 󱥩󱦖󱥠
tawa-sona 󱥩󱦖󱥡
tawa-soweli 󱥩󱦖󱥢
tawa-suli 󱥩󱦖󱥣
tawa-suno 󱥩󱦖󱥤
tawa-supa 󱥩󱦖󱥥
tawa-suwi 󱥩󱦖󱥦
tawa-tan 󱥩󱦖󱥧
tawa-taso 󱥩󱦖󱥨
tawa-tawa 󱥩󱦖󱥩
tawa-telo 󱥩󱦖󱥪
tawa-tenpo 󱥩󱦖󱥫
tawa-toki 󱥩󱦖󱥬
tawa-tomo 󱥩󱦖󱥭
tawa-tonsi 󱥩󱦖󱥾
tawa-tu 󱥩󱦖󱥮
